jurisdiction,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Alberta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048454762252324,0.0470644496161997,0.0487632966687185,0.0545166246482144,0.0578602866295701,0.0562116270804875,0.0555410052441665,0.0535888506393605,0.0505096663745513,0.0522992945748512,0.2781308846847517,0.3198143682539373,0.3198143682539373,0.3170851401276409,0.3170851401276409,0.3170851401276409,0.247295261991861,0.247295261991861
British Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632564614213154,0.63574953895818,0.6254212854072029,0.6350473399463115,0.643528034009759,0.6440494622858906,0.6473787735632777,0.6627095174905573,0.6660922094125896,0.6746069783094916,0.6610663635696837,0.6610663635696837,0.6610663635696837,0.6610663635696837,0.6610663635696837,0.6610663635696837,0.6610663635696837
Manitoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79263766058408,0.79263766058408,0.79263766058408,0.79263766058408,0.79263766058408,0.79263766058408
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4089031780860114,0.3789010293206282,0.3787233927162548,0.3787233927162548,0.4087255414816381,0.4087255414816381
Newfoundland and Labrador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6299633005132657,0.6299633005132657,0.6299633005132657,0.6299633005132657,0.5543521526417049,0.5543521526417049
Northwest Territories,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7620319986154764,0.7620319986154764,0.7620319986154764,0.7620319986154764,0.7620319986154764,0.7620319986154764
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230700191520792,0.0230700191520792,0.0230700191520792,0.0230700191520792,0.0230700191520792,0.0230700191520792
Nunavut,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4796917704506476,0.4796917704506476,0.4796917704506476,0.4796917704506476,0.4796917704506476,0.4796917704506476
Ontario,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7258791010895976,0.7540708486993528,0.7540708486993528,0.7540708486993528,0.6740035855433587,0.6740035855433587,0.6740035855433587
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8956690218505844,0.8956690218505844,0.8956690218505844,0.8956690218505844,0.887189491810318,0.887189491810318
Quebec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2006871308729733,0.1982012759632305,0.756950589107026,0.7569280282882174,0.752458867440621,0.7563086150886144,0.7563086150886144,0.7563086150886144,0.7563086150886144,0.7563086150886144,0.7563086150886144,0.7563086150886144
Saskatchewan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3907698447567407,0.3907698447567407,0.3907698447567407,0.3907698447567407,0.3907698447567407,0.3907698447567407
Yukon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8039273380239533,0.8039273380239533,0.8039273380239533,0.8039273380239533,0.8039273380239533,0.8039273380239533
