jurisdiction,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3563849051184914,0.3559265802346546,0.8531293899744661,0.8468985792990807,0.8419378736707988,0.8422999864878654,0.8409238269381281,0.8640871470005853,0.8598464775071194,0.8598464775071194,0.8598464775071194,0.8598464775071194
Connecticut,0.0,0.0,0.0,0.0,0.1789624223174615,0.2109940467926489,0.1883796888491105,0.2101865489673632,0.1957995023366317,0.1904974895338952,0.2039247634897376,0.2028868198938835,0.1852037759999988,0.2162474948732686,0.2169142915420288,0.2562847233531487,0.2515412700577242,0.2515412700577242,0.2515412700577242,0.2515412700577242
Delaware,0.0,0.0,0.0,0.0,0.2248689535386713,0.225356415980549,0.2138035627343654,0.2487735582685176,0.2236029762104655,0.2031854687008383,0.1854342187182842,0.2018105258000452,0.1694762809071441,0.1429385989727212,0.1025751559126806,0.1168815826795482,0.1080666911123952,0.1080666911123952,0.1080666911123952,0.1080666911123952
Maine,0.0,0.0,0.0,0.0,0.1385687730620492,0.152924434926727,0.1265789394027571,0.1145718507864446,0.0907125587168968,0.1001521674422158,0.0932357762448922,0.0895563692155855,0.0651865247865947,0.0708337752634,0.0489204939214785,0.0514016699104396,0.0859547038363009,0.0859547038363009,0.0859547038363009,0.0859547038363009
Maryland,0.0,0.0,0.0,0.0,0.3395358175731445,0.3471484999782081,0.3064460445656515,0.2982775870064443,0.2724189412932455,0.2873357615897541,0.2598265209640173,0.2736650434670703,0.2064413248292281,0.2568484511480101,0.2007685732411793,0.1842263857929592,0.2042936666612178,0.2042936666612178,0.2042936666612178,0.2042936666612178
Massachusetts,0.0,0.0,0.0,0.0,0.2464623737490319,0.2540799727764876,0.2131378425252774,0.1964660688132685,0.1930961425999218,0.1685695847513368,0.1732242513255714,0.1705158699839926,0.1629262876246925,0.2448025480995368,0.2030234916370529,0.2231683900353605,0.2205881124002109,0.2205881124002109,0.1102940562001054,0.1102940562001054
New Hampshire,0.0,0.0,0.0,0.0,0.3279268282738046,0.3248132499059124,0.3059718154037292,0.2805525481086879,0.2295493101742997,0.2201465386729344,0.2308789470751641,0.1724467235965576,0.1364267239135158,0.1463838175479385,0.1316723218653784,0.1293523821935489,0.1580310476719245,0.1580310476719245,0.1580310476719245,0.1580310476719245
New Jersey,0.0,0.0,0.0,0.0,0.1352137694699708,0.1698044977183875,0.1512018828062541,0.0,0.0,0.0,0.0,0.0,0.0,0.1677621238941198,0.1705560663359138,0.1607856820429797,0.1475518987121681,0.1475518987121681,0.1475518987121681,0.1475518987121681
New York,0.0,0.0,0.0,0.0,0.2041721245600678,0.2182187046884074,0.2019894417897134,0.1999872414495513,0.1860085999705953,0.1823534144276516,0.1752573434620971,0.1711404708960307,0.1392313127581558,0.1456297622111,0.1319054581985465,0.1667671073683278,0.1615792466556083,0.1615792466556083,0.1615792466556083,0.1615792466556083
Rhode Island,0.0,0.0,0.0,0.0,0.2750936633118426,0.2923226011853108,0.3283448465734846,0.3295403704486285,0.2659238833069939,0.2488501026917379,0.2728845652979936,0.284266067333823,0.2991154431860534,0.303313096561194,0.2883291977439094,0.3435098872701613,0.3319505375803863,0.3319505375803863,0.3319505375803863,0.3319505375803863
Vermont,0.0,0.0,0.0,0.0,0.0008794906806477,0.0008823639730697,0.0009891843132785,0.0005927918569798,0.0009670080261703,0.0008574159193834,0.0004835161489114,0.0006787410050559,0.0011962697221119,0.0006505347200781,0.0003096123135047,0.0005084829145628,0.0005002703072818,0.0005002703072818,0.0005002703072818,0.0005002703072818
Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3739488463934856,0.3739488463934856
