year,Germany,China,France,United Kingdom,Canada,Italy,Poland,Sweden,"Korea, Rep.",Spain,United States,Norway,Netherlands,Finland,Czech Republic,South Africa,Australia,Other
2005,0.476238603,0.0,0.142587613,0.338390015,0.0,0.258493072,0.213586503,0.159692451,0.0,0.199255802,0.0,0.0,0.10229355,0.0,0.0,0.0,0.0,0.6134302779999999
2006,0.386763636,0.0,0.109102165,0.268649766,0.0,0.20009592,0.173656774,0.147323961,0.0,0.147826122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586555118
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119902274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165826372
2008,0.351605754,0.0,0.103164582,0.227280239,0.0,0.176146344,0.153215682,0.13767658,0.0,0.125723644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6578889350000001
2009,0.241337584,0.0,0.0,0.148724878,0.0,0.109124977,0.105548397,0.132410587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.655265798
2010,0.258854082,0.0,0.0,0.1550282,0.0,0.115102469,0.110475191,0.128594971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7094695280000001
2011,0.228378709,0.0,0.0,0.127135639,0.0,0.100339122,0.0,0.113382527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747073373
2012,0.131621256,0.0,0.0,0.0,0.0,0.0,0.0,0.107175356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124556112,0.6641729839999999
2013,0.0,0.126367828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116393007,0.717491637
2014,0.0,0.141576454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11531744,0.899173761
2015,0.118165841,0.0,0.135878979,0.124227898,0.0,0.0,0.0,0.100530794,0.118487704,0.0,0.135138951,0.0,0.0,0.0,0.0,0.0,0.0,0.687444859
2016,0.0,0.0,0.178196602,0.0,0.0,0.0,0.0,0.0,0.188285076,0.0,0.128735841,0.0,0.0,0.0,0.0,0.0,0.0,0.893905944
2017,0.0,0.0,0.246503277,0.0,0.0,0.0,0.0,0.0,0.228046755,0.0,0.136490446,0.0,0.0,0.0,0.0,0.0,0.0,0.933081242
2018,0.203690485,0.0,0.386832019,0.130808625,0.201975321,0.0,0.0,0.0,0.255431614,0.0,0.139460244,0.0,0.0,0.0,0.0,0.0,0.0,1.056449272
2019,0.276769017,0.104043532,0.404281546,0.169861451,0.232870928,0.114081023,0.133283275,0.0,0.314136644,0.107577903,0.157205678,0.0,0.0,0.0,0.0,0.118710563,0.0,0.8600308999999999
2020,0.248880076,0.117515444,0.351763447,0.134855071,0.323056901,0.102202562,0.122705012,0.0,0.298759827,0.0,0.162617567,0.103440673,0.0,0.0,0.0,0.119059362,0.0,0.8008948810000001
2021,0.754664032,0.995043902,0.467817404,0.250543995,0.39087882,0.231319087,0.276521158,0.112133916,0.267953168,0.191890535,0.2038585,0.10942725,0.14146288,0.0,0.100627008,0.109831582,0.0,0.795081709
2022,1.01326604,1.246484397,0.537145667,0.332160853,0.439354593,0.353635133,0.351486728,0.112877791,0.264744224,0.287571007,0.243008339,0.11421876,0.17769619,0.104161044,0.136865177,0.106957945,0.0,0.911735001
2023,0.986566134,1.33986895,0.521273073,0.225996696,0.433934377,0.348443997,0.334540026,0.113868543,0.124554712,0.282238696,0.303898687,0.146806543,0.172600325,0.102415059,0.131938322,0.112685672,0.0,0.862174809
2024,0.913488148,1.939328165,0.462425636,0.164839728,0.529993931,0.272887081,0.259156479,0.11195844,0.103427721,0.224590288,0.319020742,0.159624215,0.135000619,0.101233776,0.102220363,0.134655835,0.0,0.742585281
