year,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.2312624911669415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.2176838977496041,0.4487696605299748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.2403186404392595,0.8731317852631889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.2604988757597884,1.1091517112244915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.2728306045140194,1.3145157564979637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.2688709281330823,1.6225009788232607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.2684250637692739,1.6597765955066242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211737458251058,0.0,0.0
2014,0.2546418622274289,1.6224805832490057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2434581830079893,0.0,0.0
2015,0.2443463557769248,1.6237722936979229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1173191273918053,0.0,0.0
2016,0.3217720525539799,1.7144208975269626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1375755208055185,0.0,0.0
2017,1.7267370785453386,1.6562160882498649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2527144282686449,0.0,0.0
2018,6.14594941905424,1.7957512920366794,0.0,0.0,0.0,0.0,0.0,0.0,2.666450410461037,0.0,1.237376504674906,0.0,0.0
2019,6.219623795847706,2.0190293041114824,0.2614504355057175,0.122190489131654,0.1920874611439081,0.0226485591069472,0.0,0.0054481521528834,2.829265644775818,0.0270570946712591,1.4148067309713066,0.6729972024127082,0.009519486451467
2020,10.08921812836898,2.148572707636584,0.3894623707493848,0.1663750379932115,0.2287630717275166,0.030063463597675,0.0077636641385355,0.0058417531674892,4.078834668934717,0.0426646163027496,1.360674274418494,0.9948696401445034,0.0141106981193353
2021,12.550631208199905,2.1923709816363957,0.470799910671851,0.1968221049066844,0.2688537663336427,0.0405180887511947,0.0100146014621064,0.007399956839759,5.035062090255956,0.0393294482639513,1.702498328563634,1.2086564171861098,0.0176620574419242
2022,14.57290509169568,2.2691156657711176,0.5466595505505041,0.2285359044634274,0.3121739739882808,0.0470467382933126,0.0109828589434143,0.0085923063883828,5.171195970849004,0.0366552118721507,2.0230412455622524,1.4034063278518076,0.0205079316375001
2023,10.483744876336475,2.809944017239258,0.6999157379364488,0.3175871719985179,0.379582892831375,0.0602363070706559,0.0081538518111392,0.0110011623511285,6.620942486609655,0.0769179952480908,2.315318715833015,1.796851760101704,0.0262573371144003
2024,12.903070617029508,3.5599137046368403,0.8614347543833216,0.3908765193827913,0.4671789450232307,0.0741369933177303,0.0253619029895466,0.0135398921244658,8.148852291211883,0.094668301843804,2.4728948534804527,2.2115098585867123,0.0323167226023388
