year,California,Connecticut,Delaware,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,Rhode Island,Vermont,Washington
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.005310697720525,0.0031277130306747,0.0019117591321375,0.0198833451864565,0.0142221270026507,0.0043439136287875,0.0118966737122944,0.0279420860995989,0.0024375924023779,4.129184700449615e-06,0.0
2010,0.0,0.0039580942258897,0.0021877684509242,0.001326012072223,0.012942529367103,0.0094012830479267,0.0027932394301179,0.009166532201966,0.0196375912725199,0.0015844848037431,2.7127029449417994e-06,0.0
2011,0.0,0.0030610838832473,0.001789625706356,0.0009685560742017,0.0103516555615285,0.0066750637016036,0.0023187488666264,0.0072866347382413,0.015775830737645,0.001617842866214,2.6841504737373696e-06,0.0
2012,0.0,0.0044478856398345,0.0028207127735912,0.0010683588873405,0.0118152616931957,0.0074670698231681,0.0025469537124852,0.0,0.0198827382839841,0.0020478150050496,2.0188103825665653e-06,0.0
2013,0.3851395766714229,0.0052048438486049,0.0031263270196199,0.0010992344515527,0.0134623601364739,0.0097152936066999,0.0025325285595553,0.0,0.0230492105329178,0.0019684206749497,4.4098334025841405e-06,0.0
2014,0.3332636617926895,0.0074464038515197,0.0040342063819743,0.0018408727510238,0.0214076812378681,0.0120057575936516,0.0036935765155935,0.0,0.0339434473064092,0.0027691797678641,5.839795412005967e-06,0.0
2015,0.8339840399025775,0.0119187726773852,0.0052252167992927,0.0025322207947304,0.0270417631085567,0.0181611422041486,0.0056235821484783,0.0,0.0467028364761712,0.0044649049101877,4.913432227605548e-06,0.0
2016,0.8515024734826899,0.0077533756539007,0.003986250527041,0.0016541246336256,0.0192710972029211,0.011908418336961,0.0026343478749401,0.0,0.030788905533397,0.0028571648247265,4.592741642373051e-06,0.0
2017,0.9627687934322642,0.0060153152501037,0.002824822855601,0.0009891164802197,0.0114822691627051,0.0098587449624986,0.0017512086838511,0.0,0.021148678990735,0.002683928441121,6.846288698374125e-06,0.0
2018,0.9473293477503426,0.0084961777312956,0.0026997159019759,0.001129085853552,0.0172928139351494,0.0080943288126435,0.0021689433305751,0.0183386397273999,0.0258430187313675,0.0033486280928124,4.068487982645361e-06,0.0
2019,1.076877488835409,0.0102432849910823,0.0022827105990171,0.0009230839764856,0.0152627803878277,0.0180036371610169,0.0023353414738841,0.0224851501710218,0.0277397564425203,0.0036362126899071,2.5196594799923083e-06,0.0
2020,1.0869668025777477,0.0164358455797607,0.003425021025016,0.0013312959794087,0.017506122159343,0.0210093483628949,0.0030140696238283,0.0257574089594057,0.0445234920376253,0.0060414761162041,5.450208277266999e-06,0.0
2021,1.355285489031259,0.0225942875784348,0.0043240131008105,0.0030924217687449,0.0275021562433429,0.0239269288784575,0.0051488198386137,0.0326312503881583,0.0612174775862781,0.0082681578637342,7.207700452047728e-06,0.0
2022,1.618338164369449,0.026712386139095,0.0051121199205059,0.0036560552796761,0.032514776785044,0.0276316629043895,0.0060872582599574,0.0385787140906331,0.0723751476593066,0.0097751356287891,8.521396259194049e-06,0.0
2023,1.815251658984273,0.0268348443056083,0.0051355555218484,0.0036728158125574,0.032663834975838,0.0178550340361546,0.0061151642089702,0.0387555713196871,0.0727069386059236,0.0098199479933711,8.560461079408931e-06,0.2847106893478461
2024,1.938794194759065,0.0395958368031873,0.007577708147698,0.0054193798878048,0.0481967349741329,0.0263457840768309,0.0090231581478739,0.0571853244130021,0.1072818624439656,0.0144897079980466,1.2631286993883238e-05,0.1654088417871089
